playlistId,songId,name,artists
2q0gdoqiM0zZAD5sAl2zJX,0e0JshRej2NwT7jahEmv52,ROLLING STONE,Brent Faiyaz
2q0gdoqiM0zZAD5sAl2zJX,7D8aQaRzoi9Qzz5yerVK5b,Throw A Fit,Tinashe
2q0gdoqiM0zZAD5sAl2zJX,1rJM37Dd4OcSJvzI84yCcP,Fu-Gee-La,Fugees|Ms. Lauryn Hill|Wyclef Jean|Pras
2q0gdoqiM0zZAD5sAl2zJX,5jgEJXjECdlhzNgfITSTVm,Just Friends (Sunny),Musiq Soulchild
2q0gdoqiM0zZAD5sAl2zJX,6rbhWExtuchhpLC5fHnB8n,Motivation,Kelly Rowland|Lil Wayne
2q0gdoqiM0zZAD5sAl2zJX,05rWggLwQ2weA4D2cRAt55,Far Away - 2020 Remaster,Nickelback
2q0gdoqiM0zZAD5sAl2zJX,3e2Bo9TD1mtlqysEJa7Mep,Use Your Heart - Interlude,SWV
2q0gdoqiM0zZAD5sAl2zJX,2RcanAJpudPNDkyIe9DzKS,Really Love,D'Angelo
2q0gdoqiM0zZAD5sAl2zJX,7x5ayrIxbFqXoufyPrAm3M,Shorty (Got Her Eyes on Me),Donell Jones
2q0gdoqiM0zZAD5sAl2zJX,0709StHzSeXpdj2zmqF2o2,Tempo,Chris Brown
2q0gdoqiM0zZAD5sAl2zJX,1Lhwn4PqeGpM4LTVUowW76,You Rock My World,Michael Jackson
2q0gdoqiM0zZAD5sAl2zJX,1NrJYpdAi7uosDRPmSYrsG,Apologize,OneRepublic
2q0gdoqiM0zZAD5sAl2zJX,1e5DTpM1WeggytDXbphivX,Kissin' You,Total
2q0gdoqiM0zZAD5sAl2zJX,1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,Jesse McCartney
2q0gdoqiM0zZAD5sAl2zJX,29rQJydAlO0uMyWvRIZxQg,That's The Way Love Goes,Janet Jackson
2q0gdoqiM0zZAD5sAl2zJX,1dHJETCn2X1R1YwVlMvSza,Wanna Get To Know You,G-Unit|Joe
2q0gdoqiM0zZAD5sAl2zJX,7FC9Lng8iXU081lbigu8m8,Heartbeat Song,Kelly Clarkson
2q0gdoqiM0zZAD5sAl2zJX,2QsZVnbWVSjKMXK6K3uRBL,U Remind Me,USHER
2q0gdoqiM0zZAD5sAl2zJX,0UQSyryW2vxE88AVFSZs3T,Quicksand,SZA
2q0gdoqiM0zZAD5sAl2zJX,2vG1yrWSMiL6egg6w4e9ma,Free Your Mind,En Vogue
